!Agilent Technologies,E4990A,MY54202069,A.02.20
!Date: Tue Mar 03 02:21:15 2026

BEGIN CH1_DATA
Frequency(Hz), Cs(F)-data, Rs(Ohm)-data
+2.00000000000e+001, +2.49148027613e-010, +1.19493151160e+008
+4.00000000000e+001, +3.22653187991e-009, +8.02786621812e+006
+6.00000000000e+001, +6.15204694785e-010, +4.02825413331e+006
+8.00000000000e+001, -1.02440650931e-010, -7.00717141291e+006
+1.00000000000e+002, -3.11163718666e-010, -1.20005095507e+006
END
