!Agilent Technologies,E4990A,MY54202069,A.02.20
!Date: Tue Mar 03 02:15:58 2026

BEGIN CH1_DATA
Frequency(Hz), Cs(F)-data, Rs(Ohm)-data
+2.00000000000e+001, +3.69345848302e-011, +9.06170560156e+007
+4.00000000000e+001, +7.07292934196e-010, +7.13098696168e+005
+6.00000000000e+001, +4.54204602540e-010, -2.56478435519e+006
+8.00000000000e+001, +8.82766770098e-009, +2.14197839012e+007
+1.00000000000e+002, +1.00499733203e-009, +9.12240851547e+006
END
