!Agilent Technologies,E4990A,MY54202069,A.02.20
!Date: Tue Mar 03 02:39:43 2026

BEGIN CH1_DATA
Frequency(Hz), Cs(F)-data, Rs(Ohm)-data
+2.00000000000e+001, +3.53392653252e+002, -4.21131670946e-005
+4.00000000000e+001, -1.04416910099e+001, -2.50788617991e-004
+6.00000000000e+001, -1.13900811025e+001, -4.54335989920e-005
+8.00000000000e+001, -2.20525075509e+002, -4.20821674836e-005
+1.00000000000e+002, +8.34806034860e+000, +2.99431634623e-005
END
