!Agilent Technologies,E4990A,MY54202069,A.02.20
!Date: Tue Mar 03 02:39:28 2026

BEGIN CH1_DATA
Frequency(Hz), Cs(F)-data, Rs(Ohm)-data
+2.00000000000e+001, +4.79915756341e-011, -4.96954173165e+008
+4.00000000000e+001, +7.43519710834e-009, +6.12663660293e+006
+6.00000000000e+001, +4.57010735676e-009, +5.12962521871e+006
+8.00000000000e+001, -6.47151989386e-010, +6.29779305606e+006
+1.00000000000e+002, -8.34853123314e-010, +4.71927886985e+006
END
