!Agilent Technologies,E4990A,MY54202069,A.02.20
!Date: Tue Mar 03 02:28:10 2026

BEGIN CH1_DATA
Frequency(Hz), Cs(F)-data, Rs(Ohm)-data
+2.00000000000e+001, -3.51531847486e-011, +3.89297059325e+008
+4.00000000000e+001, -5.75242619537e-010, -1.05592043288e+007
+6.00000000000e+001, -2.91044006200e-010, +9.21579755493e+006
+8.00000000000e+001, -1.72768917492e-010, +1.40288283980e+007
+1.00000000000e+002, -6.22656791650e-010, +5.72220214289e+006
END
