!Agilent Technologies,E4990A,MY54202069,A.02.20
!Date: Tue Mar 03 03:14:25 2026

BEGIN CH1_DATA
Frequency(Hz), Cs(F)-data, Rs(Ohm)-data
+2.00000000000e+001, +1.87944698080e-009, +8.81620749083e+006
+4.00000000000e+001, +1.89245664388e-008, -1.44589530618e+005
+6.00000000000e+001, +8.43557503282e-009, -1.32975895563e+005
+8.00000000000e+001, +5.63192466120e-009, +6.06453985303e+005
+1.00000000000e+002, -1.69667584845e-008, +3.20086409329e+005
+1.20000000000e+002, -1.08626609936e-008, +4.08750301425e+005
+1.40000000000e+002, -6.95627683291e-009, +5.29311608794e+005
+1.60000000000e+002, -3.99280008290e-009, +7.15390929459e+005
+1.80000000000e+002, -1.96958614975e-009, +1.04642873233e+006
+2.00000000000e+002, -7.51832132859e-010, +1.67635874553e+006
+2.20000000000e+002, -8.32308985824e-010, +1.63543160846e+006
+2.40000000000e+002, -8.89133270679e-010, +1.51700137405e+006
+2.60000000000e+002, -9.09642290334e-010, +1.48196396724e+006
+2.80000000000e+002, -9.63921056708e-010, +1.39735118388e+006
+3.00000000000e+002, -1.46172955173e-009, +1.32384313602e+006
+3.20000000000e+002, -1.26828920336e-009, +1.37332627273e+006
+3.40000000000e+002, -1.70771539904e-009, +1.22783756233e+006
+3.60000000000e+002, -1.42420909763e-009, +1.19737942630e+006
+3.80000000000e+002, -1.70907029928e-009, +1.15052412685e+006
+4.00000000000e+002, -2.68673907187e-009, +1.17910650321e+006
+4.20000000000e+002, -1.72214103809e-009, +1.14166977077e+006
+4.40000000000e+002, -2.34406694339e-009, +1.17297760056e+006
+4.60000000000e+002, -2.14140887211e-009, +1.08556164728e+006
+4.80000000000e+002, -2.13190408602e-009, +1.10481157446e+006
+5.00000000000e+002, -3.28032887091e-009, +1.05491990049e+006
END
