!Agilent Technologies,E4990A,MY54202069,A.02.20
!Date: Tue Mar 03 03:16:07 2026

BEGIN CH1_DATA
Frequency(Hz), Cs(F)-data, Rs(Ohm)-data
+2.00000000000e+001, +1.82401854040e-009, +8.81385537742e+006
+4.00000000000e+001, +1.90646277464e-008, -1.42783602630e+005
+6.00000000000e+001, +8.54919464831e-009, -1.34440954061e+005
+8.00000000000e+001, +5.53057732248e-009, +6.06225963423e+005
+1.00000000000e+002, -1.66265450835e-008, +3.24956035370e+005
+1.20000000000e+002, -1.09770949546e-008, +4.12330826225e+005
+1.40000000000e+002, -6.94141966092e-009, +5.28675088170e+005
+1.60000000000e+002, -3.94299751187e-009, +7.13196033030e+005
+1.80000000000e+002, -1.94120622703e-009, +1.04008119882e+006
+2.00000000000e+002, -7.22683929967e-010, +1.63522422471e+006
+2.20000000000e+002, -8.19492588820e-010, +1.58875300017e+006
+2.40000000000e+002, -8.56351843246e-010, +1.58231833077e+006
+2.60000000000e+002, -1.06618427473e-009, +1.53574259761e+006
+2.80000000000e+002, -1.18612267033e-009, +1.50171639591e+006
+3.00000000000e+002, -1.08804279060e-009, +1.35276858968e+006
+3.20000000000e+002, -1.61573851351e-009, +1.30104801800e+006
+3.40000000000e+002, -1.32924859357e-009, +1.27453288678e+006
+3.60000000000e+002, -1.81656280685e-009, +1.27563101486e+006
+3.80000000000e+002, -1.85910898580e-009, +1.24981674920e+006
+4.00000000000e+002, -1.59993155370e-009, +1.16860468703e+006
+4.20000000000e+002, -2.78773578190e-009, +1.14314557002e+006
+4.40000000000e+002, -2.06581058598e-009, +1.09954804815e+006
+4.60000000000e+002, -3.31250437084e-009, +1.11405848823e+006
+4.80000000000e+002, -3.64918277526e-009, +1.06503793229e+006
+5.00000000000e+002, -6.30275989916e-009, +1.11523788054e+006
END
