!Agilent Technologies,E4990A,MY54202069,A.02.20
!Date: Tue Mar 03 03:16:46 2026

BEGIN CH1_DATA
Frequency(Hz), Cs(F)-data, Rs(Ohm)-data
+2.00000000000e+001, +2.03264936486e-009, +8.70743378328e+006
+4.00000000000e+001, +1.90828428073e-008, -1.44149810854e+005
+6.00000000000e+001, +8.47472846977e-009, -1.35543027071e+005
+8.00000000000e+001, +5.63824976588e-009, +6.05752268099e+005
+1.00000000000e+002, -1.70470673819e-008, +3.19851443953e+005
+1.20000000000e+002, -1.08994849349e-008, +4.08673921326e+005
+1.40000000000e+002, -6.95540147547e-009, +5.29470531570e+005
+1.60000000000e+002, -3.99732484904e-009, +7.16075904540e+005
+1.80000000000e+002, -1.97144016359e-009, +1.04600813975e+006
+2.00000000000e+002, -7.49901043313e-010, +1.67887653583e+006
+2.20000000000e+002, -8.30320751356e-010, +1.63839739364e+006
+2.40000000000e+002, -8.90930255051e-010, +1.51819791109e+006
+2.60000000000e+002, -9.08798383971e-010, +1.47742448655e+006
+2.80000000000e+002, -9.74267043455e-010, +1.39252967582e+006
+3.00000000000e+002, -1.46770459057e-009, +1.33358516388e+006
+3.20000000000e+002, -1.25492639186e-009, +1.37014048561e+006
+3.40000000000e+002, -1.72735159370e-009, +1.23745622619e+006
+3.60000000000e+002, -1.45943645371e-009, +1.19391933270e+006
+3.80000000000e+002, -1.77101538534e-009, +1.15270720434e+006
+4.00000000000e+002, -2.58893430884e-009, +1.18229520275e+006
+4.20000000000e+002, -1.75494903677e-009, +1.13753366334e+006
+4.40000000000e+002, -2.26296653281e-009, +1.17081644885e+006
+4.60000000000e+002, -2.25869835771e-009, +1.08450760386e+006
+4.80000000000e+002, -2.21076580054e-009, +1.10062750914e+006
+5.00000000000e+002, -3.52744153475e-009, +1.05999863906e+006
END
