!Agilent Technologies,E4990A,MY54202069,A.02.20
!Date: Tue Mar 03 03:17:04 2026

BEGIN CH1_DATA
Frequency(Hz), Cs(F)-data, Rs(Ohm)-data
+2.00000000000e+001, +2.01399717995e-009, +8.46723531554e+006
+4.00000000000e+001, +1.78764328092e-008, -1.42751934364e+005
+6.00000000000e+001, +8.39039467728e-009, -1.11484964985e+005
+8.00000000000e+001, +5.44171447395e-009, +6.02681595238e+005
+1.00000000000e+002, -1.66443418622e-008, +3.29810737753e+005
+1.20000000000e+002, -1.09722229792e-008, +4.12830780490e+005
+1.40000000000e+002, -6.90010643028e-009, +5.28386246533e+005
+1.60000000000e+002, -3.93928271136e-009, +7.12852163058e+005
+1.80000000000e+002, -1.91588708225e-009, +1.03780949821e+006
+2.00000000000e+002, -7.23528796633e-010, +1.63689898690e+006
+2.20000000000e+002, -8.13673701808e-010, +1.62529687067e+006
+2.40000000000e+002, -8.89248848401e-010, +1.54599820221e+006
+2.60000000000e+002, -1.01846367634e-009, +1.51402659472e+006
+2.80000000000e+002, -1.14064741269e-009, +1.49863636660e+006
+3.00000000000e+002, -1.12562671156e-009, +1.32136278000e+006
+3.20000000000e+002, -1.50252562028e-009, +1.26829771475e+006
+3.40000000000e+002, -1.28228573118e-009, +1.27972172643e+006
+3.60000000000e+002, -1.71202453869e-009, +1.19914815031e+006
+3.80000000000e+002, -1.50414618522e-009, +1.21522073179e+006
+4.00000000000e+002, -1.96870762185e-009, +1.12857339943e+006
+4.20000000000e+002, -2.10442740113e-009, +1.19058586382e+006
+4.40000000000e+002, -2.77323237367e-009, +1.13581841582e+006
+4.60000000000e+002, -2.04266955403e-009, +1.11077025708e+006
+4.80000000000e+002, -2.64266861803e-009, +1.10019460481e+006
+5.00000000000e+002, -3.28425453441e-009, +1.08476799127e+006
END
