!Agilent Technologies,E4990A,MY54202069,A.02.20
!Date: Tue Mar 03 03:16:34 2026

BEGIN CH1_DATA
Frequency(Hz), Cs(F)-data, Rs(Ohm)-data
+2.00000000000e+001, +1.80838003541e-009, +8.46247006051e+006
+4.00000000000e+001, +1.86709864953e-008, -1.35187728295e+005
+6.00000000000e+001, +8.81172697350e-009, -1.23043107539e+005
+8.00000000000e+001, +5.53211888415e-009, +5.81243879723e+005
+1.00000000000e+002, -2.01901469238e-008, +3.31937008557e+005
+1.20000000000e+002, -1.21745263062e-008, +4.08045893393e+005
+1.40000000000e+002, -6.95390292340e-009, +5.28492201410e+005
+1.60000000000e+002, -3.79693978267e-009, +7.19865166656e+005
+1.80000000000e+002, -1.84647146715e-009, +1.05143067395e+006
+2.00000000000e+002, -7.42104389529e-010, +1.66288707757e+006
+2.20000000000e+002, -8.38818087414e-010, +1.64745272809e+006
+2.40000000000e+002, -8.80375987020e-010, +1.57515516667e+006
+2.60000000000e+002, -1.08371004946e-009, +1.50406351162e+006
+2.80000000000e+002, -1.26555242411e-009, +1.42319329488e+006
+3.00000000000e+002, -1.10487041648e-009, +1.42122206374e+006
+3.20000000000e+002, -1.43478127077e-009, +1.25685148738e+006
+3.40000000000e+002, -1.63560948263e-009, +1.23902480196e+006
+3.60000000000e+002, -1.85951357813e-009, +1.26165069432e+006
+3.80000000000e+002, -1.69003899779e-009, +1.15729565894e+006
+4.00000000000e+002, -2.48967263322e-009, +1.15849997026e+006
+4.20000000000e+002, -1.77226301638e-009, +1.16806327081e+006
+4.40000000000e+002, -2.12260306143e-009, +1.10662594479e+006
+4.60000000000e+002, -2.12640440990e-009, +1.11152354573e+006
+4.80000000000e+002, -5.38478348569e-009, +1.10772415659e+006
+5.00000000000e+002, -4.27165115617e-009, +1.15152309717e+006
END
