!Agilent Technologies,E4990A,MY54202069,A.02.20
!Date: Tue Mar 03 03:13:47 2026

BEGIN CH1_DATA
Frequency(Hz), Cs(F)-data, Rs(Ohm)-data
+2.00000000000e+001, +1.84498105808e-009, +8.82950866428e+006
+4.00000000000e+001, +1.90521788732e-008, -1.42289628971e+005
+6.00000000000e+001, +8.56537895269e-009, -1.34021251728e+005
+8.00000000000e+001, +5.45929830093e-009, +6.06928729316e+005
+1.00000000000e+002, -1.62388674085e-008, +3.27046354673e+005
+1.20000000000e+002, -1.09218533695e-008, +4.13962585941e+005
+1.40000000000e+002, -6.95005369635e-009, +5.28464818887e+005
+1.60000000000e+002, -3.94197396855e-009, +7.11439318782e+005
+1.80000000000e+002, -1.94322476268e-009, +1.03978132318e+006
+2.00000000000e+002, -7.19587725307e-010, +1.62602910911e+006
+2.20000000000e+002, -8.26026685351e-010, +1.58646904456e+006
+2.40000000000e+002, -9.17191603514e-010, +1.53841030235e+006
+2.60000000000e+002, -1.02159635949e-009, +1.53018623039e+006
+2.80000000000e+002, -1.16850774212e-009, +1.48409965072e+006
+3.00000000000e+002, -1.04146260183e-009, +1.31540158860e+006
+3.20000000000e+002, -1.75271200769e-009, +1.30621287037e+006
+3.40000000000e+002, -1.30821770634e-009, +1.22570311617e+006
+3.60000000000e+002, -1.82230313558e-009, +1.24229956975e+006
+3.80000000000e+002, -1.58778959992e-009, +1.15371591419e+006
+4.00000000000e+002, -2.65670105680e-009, +1.14787641534e+006
+4.20000000000e+002, -1.66819640704e-009, +1.17134952202e+006
+4.40000000000e+002, -2.10540880336e-009, +1.10449361255e+006
+4.60000000000e+002, -2.37983804160e-009, +1.07545465806e+006
+4.80000000000e+002, -3.07251237991e-009, +1.08324786849e+006
+5.00000000000e+002, -4.14659977921e-009, +1.08967113386e+006
END
