!Agilent Technologies,E4990A,MY54202069,A.02.20
!Date: Tue Mar 03 03:13:31 2026

BEGIN CH1_DATA
Frequency(Hz), Cs(F)-data, Rs(Ohm)-data
+2.00000000000e+001, +1.81307917096e-009, +8.58744338503e+006
+4.00000000000e+001, +1.89996471268e-008, -1.38386970997e+005
+6.00000000000e+001, +8.72566282507e-009, -1.31014600382e+005
+8.00000000000e+001, +5.33883958029e-009, +5.92086448090e+005
+1.00000000000e+002, -1.74190557069e-008, +3.38406866965e+005
+1.20000000000e+002, -1.17056555975e-008, +4.17306060911e+005
+1.40000000000e+002, -6.90992218175e-009, +5.29224660787e+005
+1.60000000000e+002, -3.83436480589e-009, +7.11188710655e+005
+1.80000000000e+002, -1.93706622017e-009, +1.02794192500e+006
+2.00000000000e+002, -6.88183495349e-010, +1.70374672413e+006
+2.20000000000e+002, -7.57505079840e-010, +1.59895582318e+006
+2.40000000000e+002, -9.09463962156e-010, +1.55404408574e+006
+2.60000000000e+002, -9.46832360999e-010, +1.48734975158e+006
+2.80000000000e+002, -9.48092800645e-010, +1.44326767560e+006
+3.00000000000e+002, -1.43961567041e-009, +1.29862411193e+006
+3.20000000000e+002, -1.30976504471e-009, +1.39439485076e+006
+3.40000000000e+002, -1.69149668478e-009, +1.21108072800e+006
+3.60000000000e+002, -1.37890689246e-009, +1.20187366870e+006
+3.80000000000e+002, -1.70291613141e-009, +1.15053516650e+006
+4.00000000000e+002, -2.65056977945e-009, +1.17199933051e+006
+4.20000000000e+002, -1.69324209692e-009, +1.14391063555e+006
+4.40000000000e+002, -2.30412351345e-009, +1.17967725588e+006
+4.60000000000e+002, -2.14279373076e-009, +1.07524649229e+006
+4.80000000000e+002, -2.06785743914e-009, +1.09879471532e+006
+5.00000000000e+002, -3.65360646564e-009, +1.05200620611e+006
END
