!Agilent Technologies,E4990A,MY54202069,A.02.20
!Date: Tue Mar 03 03:15:49 2026

BEGIN CH1_DATA
Frequency(Hz), Cs(F)-data, Rs(Ohm)-data
+2.00000000000e+001, +1.96578172961e-009, +8.94606255607e+006
+4.00000000000e+001, +1.89017163953e-008, -1.49028731597e+005
+6.00000000000e+001, +8.21676497622e-009, -1.34383213932e+005
+8.00000000000e+001, +5.79911085005e-009, +5.89112760129e+005
+1.00000000000e+002, -2.03947010760e-008, +3.17680994689e+005
+1.20000000000e+002, -1.16017652872e-008, +4.02374999851e+005
+1.40000000000e+002, -6.87821454898e-009, +5.30299004737e+005
+1.60000000000e+002, -3.92533295964e-009, +7.25561958333e+005
+1.80000000000e+002, -1.93446874934e-009, +1.06023508245e+006
+2.00000000000e+002, -6.85002209478e-010, +1.67087469123e+006
+2.20000000000e+002, -8.13028518291e-010, +1.55468384092e+006
+2.40000000000e+002, -8.91755008636e-010, +1.58430289945e+006
+2.60000000000e+002, -1.00075414536e-009, +1.55147123771e+006
+2.80000000000e+002, -1.01113446731e-009, +1.48787915636e+006
+3.00000000000e+002, -1.25147094697e-009, +1.28101701902e+006
+3.20000000000e+002, -1.57234298548e-009, +1.37601519068e+006
+3.40000000000e+002, -1.56828920028e-009, +1.23060084972e+006
+3.60000000000e+002, -1.67554687815e-009, +1.27669270690e+006
+3.80000000000e+002, -1.99727507844e-009, +1.15983580653e+006
+4.00000000000e+002, -2.43148950595e-009, +1.20772495507e+006
+4.20000000000e+002, -1.83721051851e-009, +1.11545424047e+006
+4.40000000000e+002, -2.69459399739e-009, +1.10844763426e+006
+4.60000000000e+002, -3.32554194509e-009, +1.10865865621e+006
+4.80000000000e+002, -4.06913542520e-009, +1.11839113621e+006
+5.00000000000e+002, -3.57580999782e-009, +1.12929828879e+006
END
