!Agilent Technologies,E4990A,MY54202069,A.02.20
!Date: Tue Mar 03 03:17:21 2026

BEGIN CH1_DATA
Frequency(Hz), Cs(F)-data, Rs(Ohm)-data
+2.00000000000e+001, +1.89567398483e-009, +8.40974197668e+006
+4.00000000000e+001, +1.82763423161e-008, -1.35084263471e+005
+6.00000000000e+001, +8.75134692316e-009, -1.16241088632e+005
+8.00000000000e+001, +5.72928886009e-009, +5.87396438980e+005
+1.00000000000e+002, -1.98740843836e-008, +3.21312524761e+005
+1.20000000000e+002, -1.16760569493e-008, +4.02173709760e+005
+1.40000000000e+002, -6.93611236942e-009, +5.27807088649e+005
+1.60000000000e+002, -3.87856669584e-009, +7.24121470418e+005
+1.80000000000e+002, -1.92833259049e-009, +1.05331028767e+006
+2.00000000000e+002, -6.96095793177e-010, +1.65312157269e+006
+2.20000000000e+002, -7.96774619816e-010, +1.58318010537e+006
+2.40000000000e+002, -9.31239998710e-010, +1.55655506515e+006
+2.60000000000e+002, -9.58172187493e-010, +1.48912463499e+006
+2.80000000000e+002, -1.01959511492e-009, +1.44221727201e+006
+3.00000000000e+002, -1.34341254659e-009, +1.30212830824e+006
+3.20000000000e+002, -1.40845678316e-009, +1.39114929299e+006
+3.40000000000e+002, -1.64590824193e-009, +1.24261151286e+006
+3.60000000000e+002, -1.47380021832e-009, +1.25309206071e+006
+3.80000000000e+002, -2.22341539452e-009, +1.19507443070e+006
+4.00000000000e+002, -1.98203384146e-009, +1.22286289536e+006
+4.20000000000e+002, -2.04761743621e-009, +1.11001029825e+006
+4.40000000000e+002, -2.81390015708e-009, +1.12010794881e+006
+4.60000000000e+002, -3.13042042381e-009, +1.13137288551e+006
+4.80000000000e+002, -3.40600091691e-009, +1.13856659427e+006
+5.00000000000e+002, -2.85048930580e-009, +1.12927431243e+006
END
