!Agilent Technologies,E4990A,MY54202069,A.02.20
!Date: Tue Mar 03 03:15:36 2026

BEGIN CH1_DATA
Frequency(Hz), Cs(F)-data, Rs(Ohm)-data
+2.00000000000e+001, +1.99398927058e-009, +8.30391749026e+006
+4.00000000000e+001, +1.79169332069e-008, -1.38005578793e+005
+6.00000000000e+001, +8.57243718748e-009, -1.09970081473e+005
+8.00000000000e+001, +5.66398388642e-009, +6.04160637112e+005
+1.00000000000e+002, -1.70901585495e-008, +3.19556172180e+005
+1.20000000000e+002, -1.08110119136e-008, +4.05911644869e+005
+1.40000000000e+002, -6.88216466992e-009, +5.28080419934e+005
+1.60000000000e+002, -3.98409977288e-009, +7.17999890872e+005
+1.80000000000e+002, -1.95939864231e-009, +1.04810596447e+006
+2.00000000000e+002, -7.50830159559e-010, +1.69592947573e+006
+2.20000000000e+002, -8.24142481931e-010, +1.62494403481e+006
+2.40000000000e+002, -9.06211901046e-010, +1.56366486795e+006
+2.60000000000e+002, -9.91938978156e-010, +1.45302409349e+006
+2.80000000000e+002, -1.03029506540e-009, +1.37697953868e+006
+3.00000000000e+002, -1.52807634897e-009, +1.38445258019e+006
+3.20000000000e+002, -1.17221230434e-009, +1.34149844557e+006
+3.40000000000e+002, -1.85665335362e-009, +1.27309809214e+006
+3.60000000000e+002, -1.66699730835e-009, +1.18820261655e+006
+3.80000000000e+002, -2.05642747307e-009, +1.17246303895e+006
+4.00000000000e+002, -2.18590546905e-009, +1.21639543060e+006
+4.20000000000e+002, -2.00167555612e-009, +1.11286294645e+006
+4.40000000000e+002, -1.90200369144e-009, +1.14922681012e+006
+4.60000000000e+002, -2.94749591263e-009, +1.07973810635e+006
+4.80000000000e+002, -2.71131129229e-009, +1.07774829227e+006
+5.00000000000e+002, -5.15827757826e-009, +1.08898776903e+006
END
