!Agilent Technologies,E4990A,MY54202069,A.02.20
!Date: Tue Mar 03 03:17:33 2026

BEGIN CH1_DATA
Frequency(Hz), Cs(F)-data, Rs(Ohm)-data
+2.00000000000e+001, +1.82800548814e-009, +8.79202722673e+006
+4.00000000000e+001, +1.90500795057e-008, -1.42272226765e+005
+6.00000000000e+001, +8.55568711218e-009, -1.34010838048e+005
+8.00000000000e+001, +5.52768755313e-009, +6.05229318879e+005
+1.00000000000e+002, -1.67275686552e-008, +3.24712250291e+005
+1.20000000000e+002, -1.09850734743e-008, +4.11639705624e+005
+1.40000000000e+002, -6.94095886319e-009, +5.28742709698e+005
+1.60000000000e+002, -3.95184364828e-009, +7.14108652214e+005
+1.80000000000e+002, -1.95533266422e-009, +1.04250854578e+006
+2.00000000000e+002, -7.35673930970e-010, +1.64443390210e+006
+2.20000000000e+002, -8.29632626236e-010, +1.60445763277e+006
+2.40000000000e+002, -8.51581944798e-010, +1.55196220536e+006
+2.60000000000e+002, -9.89969509016e-010, +1.54374323601e+006
+2.80000000000e+002, -1.03964502066e-009, +1.49149630295e+006
+3.00000000000e+002, -1.18384248308e-009, +1.31321370551e+006
+3.20000000000e+002, -1.55362357561e-009, +1.35298192943e+006
+3.40000000000e+002, -1.37903181876e-009, +1.23373366448e+006
+3.60000000000e+002, -1.45558769111e-009, +1.26799793675e+006
+3.80000000000e+002, -1.51180269395e-009, +1.21486860643e+006
+4.00000000000e+002, -1.96325997813e-009, +1.13236004389e+006
+4.20000000000e+002, -2.20582312072e-009, +1.19081031992e+006
+4.40000000000e+002, -2.98829275933e-009, +1.12034452922e+006
+4.60000000000e+002, -2.33586433602e-009, +1.14571805796e+006
+4.80000000000e+002, -3.57402437766e-009, +1.14887946386e+006
+5.00000000000e+002, -2.31949573764e-009, +1.12162690058e+006
END
