!Agilent Technologies,E4990A,MY54202069,A.02.20
!Date: Tue Mar 03 03:13:10 2026

BEGIN CH1_DATA
Frequency(Hz), Cs(F)-data, Rs(Ohm)-data
+2.00000000000e+001, +1.96110057138e-009, +8.73421355550e+006
+4.00000000000e+001, +1.86107693006e-008, -1.47259559849e+005
+6.00000000000e+001, +8.73285423899e-009, -1.23087430095e+005
+8.00000000000e+001, +5.58924163893e-009, +5.81147089480e+005
+1.00000000000e+002, -2.04635115765e-008, +3.29877599728e+005
+1.20000000000e+002, -1.21592231968e-008, +4.07340053005e+005
+1.40000000000e+002, -6.93699053503e-009, +5.28623445061e+005
+1.60000000000e+002, -3.80821470013e-009, +7.20496163781e+005
+1.80000000000e+002, -1.85320346492e-009, +1.05181571017e+006
+2.00000000000e+002, -7.41639067140e-010, +1.65608106858e+006
+2.20000000000e+002, -8.38995184846e-010, +1.65003572725e+006
+2.40000000000e+002, -8.73949938818e-010, +1.57145322328e+006
+2.60000000000e+002, -1.07812852930e-009, +1.50953328049e+006
+2.80000000000e+002, -1.26423517618e-009, +1.43758042733e+006
+3.00000000000e+002, -1.07540393478e-009, +1.39833255531e+006
+3.20000000000e+002, -1.54712710365e-009, +1.27007261031e+006
+3.40000000000e+002, -1.72552940401e-009, +1.25715522454e+006
+3.60000000000e+002, -1.68674704218e-009, +1.27482812809e+006
+3.80000000000e+002, -1.95863886552e-009, +1.15976624910e+006
+4.00000000000e+002, -2.49500794927e-009, +1.19991108969e+006
+4.20000000000e+002, -1.77417446534e-009, +1.13045367394e+006
+4.40000000000e+002, -2.54476876375e-009, +1.10608076554e+006
+4.60000000000e+002, -2.62309773471e-009, +1.08670668877e+006
+4.80000000000e+002, -3.01955481155e-009, +1.16425054677e+006
+5.00000000000e+002, -2.14623310566e-009, +1.12002045311e+006
END
