!Agilent Technologies,E4990A,MY54202069,A.02.20
!Date: Tue Mar 03 03:17:45 2026

BEGIN CH1_DATA
Frequency(Hz), Cs(F)-data, Rs(Ohm)-data
+2.00000000000e+001, +1.80294208910e-009, +8.60430014730e+006
+4.00000000000e+001, +1.90158100996e-008, -1.37850804440e+005
+6.00000000000e+001, +8.75373213123e-009, -1.30978333545e+005
+8.00000000000e+001, +5.55343023995e-009, +6.05419159425e+005
+1.00000000000e+002, -1.66290065749e-008, +3.23605456974e+005
+1.20000000000e+002, -1.07896890747e-008, +4.08937748927e+005
+1.40000000000e+002, -6.93881841484e-009, +5.28476043125e+005
+1.60000000000e+002, -3.97850402741e-009, +7.16234601817e+005
+1.80000000000e+002, -1.96781726853e-009, +1.04258609880e+006
+2.00000000000e+002, -7.50905199557e-010, +1.67227545169e+006
+2.20000000000e+002, -7.98929942839e-010, +1.62448879133e+006
+2.40000000000e+002, -9.13893079961e-010, +1.55818541920e+006
+2.60000000000e+002, -9.65927693993e-010, +1.47040333813e+006
+2.80000000000e+002, -9.86947226221e-010, +1.41392155222e+006
+3.00000000000e+002, -1.48206151855e-009, +1.33362112587e+006
+3.20000000000e+002, -1.23883654059e-009, +1.36828304032e+006
+3.40000000000e+002, -1.77064390241e-009, +1.23949742398e+006
+3.60000000000e+002, -1.51632002619e-009, +1.19332190988e+006
+3.80000000000e+002, -1.89032617808e-009, +1.16105207486e+006
+4.00000000000e+002, -2.46541159798e-009, +1.19743217601e+006
+4.20000000000e+002, -1.85131875616e-009, +1.12572021947e+006
+4.40000000000e+002, -2.04323217747e-009, +1.16245546257e+006
+4.60000000000e+002, -2.57052997372e-009, +1.07789335532e+006
+4.80000000000e+002, -2.46277261555e-009, +1.08206722876e+006
+5.00000000000e+002, -4.88279859157e-009, +1.07527817860e+006
END
