!Agilent Technologies,E4990A,MY54202069,A.02.20
!Date: Tue Mar 03 03:12:40 2026

BEGIN CH1_DATA
Frequency(Hz), Cs(F)-data, Rs(Ohm)-data
+2.00000000000e+001, +1.99710139883e-009, +8.51098067786e+006
+4.00000000000e+001, +1.83142566204e-008, -1.43576702162e+005
+6.00000000000e+001, +8.39437659082e-009, -1.19911262197e+005
+8.00000000000e+001, +5.46184429396e-009, +5.91029652344e+005
+1.00000000000e+002, -1.82096825160e-008, +3.32572739859e+005
+1.20000000000e+002, -1.16474778230e-008, +4.12639716869e+005
+1.40000000000e+002, -6.94097784141e-009, +5.29239530019e+005
+1.60000000000e+002, -3.89189477320e-009, +7.15552662950e+005
+1.80000000000e+002, -1.93001462744e-009, +1.04058724239e+006
+2.00000000000e+002, -7.05504273614e-010, +1.70729097594e+006
+2.20000000000e+002, -8.23932754669e-010, +1.63207943488e+006
+2.40000000000e+002, -9.46262420031e-010, +1.57807976729e+006
+2.60000000000e+002, -1.03070879036e-009, +1.46557343264e+006
+2.80000000000e+002, -1.16017810667e-009, +1.39110721776e+006
+3.00000000000e+002, -1.32871360932e-009, +1.40961084836e+006
+3.20000000000e+002, -1.28969568895e-009, +1.28892542950e+006
+3.40000000000e+002, -1.58856989729e-009, +1.27537779788e+006
+3.60000000000e+002, -1.69659672243e-009, +1.21087228301e+006
+3.80000000000e+002, -2.02833297590e-009, +1.18307267125e+006
+4.00000000000e+002, -2.22915161941e-009, +1.20112006050e+006
+4.20000000000e+002, -2.07983247815e-009, +1.13232225624e+006
+4.40000000000e+002, -2.16030850159e-009, +1.14463694888e+006
+4.60000000000e+002, -2.91587820741e-009, +1.12504522627e+006
+4.80000000000e+002, -2.34076069090e-009, +1.09684244044e+006
+5.00000000000e+002, -4.00128783451e-009, +1.06991391584e+006
END
