!Agilent Technologies,E4990A,MY54202069,A.02.20
!Date: Tue Mar 03 03:12:03 2026

BEGIN CH1_DATA
Frequency(Hz), Cs(F)-data, Rs(Ohm)-data
+2.00000000000e+001, +1.85766940832e-009, +8.40659552452e+006
+4.00000000000e+001, +1.83549570014e-008, -1.37590071523e+005
+6.00000000000e+001, +8.65879145419e-009, -1.19252528526e+005
+8.00000000000e+001, +5.70552111993e-009, +5.89777122344e+005
+1.00000000000e+002, -1.95828568843e-008, +3.21802521797e+005
+1.20000000000e+002, -1.16528376550e-008, +4.03502412230e+005
+1.40000000000e+002, -6.93757115276e-009, +5.28346292430e+005
+1.60000000000e+002, -3.87347225345e-009, +7.23390859735e+005
+1.80000000000e+002, -1.91774007359e-009, +1.05504831398e+006
+2.00000000000e+002, -6.99065668641e-010, +1.64959844416e+006
+2.20000000000e+002, -8.13249819595e-010, +1.58296413830e+006
+2.40000000000e+002, -9.22477627969e-010, +1.57090383584e+006
+2.60000000000e+002, -9.81824543672e-010, +1.46951482957e+006
+2.80000000000e+002, -1.04325171402e-009, +1.39632440499e+006
+3.00000000000e+002, -1.46796678164e-009, +1.36840248462e+006
+3.20000000000e+002, -1.18016195823e-009, +1.34009351364e+006
+3.40000000000e+002, -1.62747288046e-009, +1.28858894215e+006
+3.60000000000e+002, -1.57109495797e-009, +1.20184756041e+006
+3.80000000000e+002, -1.71246227842e-009, +1.23799131521e+006
+4.00000000000e+002, -1.66785774076e-009, +1.15449538136e+006
+4.20000000000e+002, -2.62004689032e-009, +1.16116161648e+006
+4.40000000000e+002, -2.23131308861e-009, +1.15988014288e+006
+4.60000000000e+002, -2.93000905221e-009, +1.13176987632e+006
+4.80000000000e+002, -2.37005247564e-009, +1.07080496070e+006
+5.00000000000e+002, -3.94624932467e-009, +1.06314716079e+006
END
