!Agilent Technologies,E4990A,MY54202069,A.02.20
!Date: Tue Mar 03 03:16:23 2026

BEGIN CH1_DATA
Frequency(Hz), Cs(F)-data, Rs(Ohm)-data
+2.00000000000e+001, +1.93416536648e-009, +8.37200231361e+006
+4.00000000000e+001, +1.80474476694e-008, -1.37215988532e+005
+6.00000000000e+001, +8.62016619376e-009, -1.12942267664e+005
+8.00000000000e+001, +5.69482068598e-009, +5.99741876004e+005
+1.00000000000e+002, -1.77613384343e-008, +3.19318412766e+005
+1.20000000000e+002, -1.09877264305e-008, +4.04503473684e+005
+1.40000000000e+002, -6.92683222435e-009, +5.28875239836e+005
+1.60000000000e+002, -3.95986167925e-009, +7.19916015610e+005
+1.80000000000e+002, -1.94535972450e-009, +1.05209101071e+006
+2.00000000000e+002, -7.38453082373e-010, +1.71030373815e+006
+2.20000000000e+002, -8.17142987435e-010, +1.63360089933e+006
+2.40000000000e+002, -9.01752029756e-010, +1.56223503999e+006
+2.60000000000e+002, -1.02072812539e-009, +1.45669591423e+006
+2.80000000000e+002, -1.09289577111e-009, +1.36990365217e+006
+3.00000000000e+002, -1.45320032592e-009, +1.41502652185e+006
+3.20000000000e+002, -1.16738798092e-009, +1.31348322729e+006
+3.40000000000e+002, -1.77215021709e-009, +1.29970656790e+006
+3.60000000000e+002, -1.76643434213e-009, +1.19890500859e+006
+3.80000000000e+002, -2.12326134264e-009, +1.19101180261e+006
+4.00000000000e+002, -1.94340818398e-009, +1.21614163511e+006
+4.20000000000e+002, -2.13220224087e-009, +1.11668642081e+006
+4.40000000000e+002, -1.91823437900e-009, +1.13498782211e+006
+4.60000000000e+002, -3.16801737810e-009, +1.09281450845e+006
+4.80000000000e+002, -2.93839772831e-009, +1.08339743370e+006
+5.00000000000e+002, -4.77822273593e-009, +1.10101073885e+006
END
