!Agilent Technologies,E4990A,MY54202069,A.02.20
!Date: Tue Mar 03 03:15:09 2026

BEGIN CH1_DATA
Frequency(Hz), Cs(F)-data, Rs(Ohm)-data
+2.00000000000e+001, +2.03855099552e-009, +9.22104432842e+006
+4.00000000000e+001, +1.90328744193e-008, -1.56534918454e+005
+6.00000000000e+001, +7.88571194841e-009, -1.39878354066e+005
+8.00000000000e+001, +5.85394066287e-009, +5.77139421450e+005
+1.00000000000e+002, -2.38067466984e-008, +3.18074187472e+005
+1.20000000000e+002, -1.22324731461e-008, +3.99945571791e+005
+1.40000000000e+002, -6.84047454239e-009, +5.30034296307e+005
+1.60000000000e+002, -3.85662218939e-009, +7.29940272217e+005
+1.80000000000e+002, -1.91249746657e-009, +1.07970787894e+006
+2.00000000000e+002, -6.95616009905e-010, +1.60747329380e+006
+2.20000000000e+002, -9.09002741408e-010, +1.56748680033e+006
+2.40000000000e+002, -8.62427708843e-010, +1.55438224596e+006
+2.60000000000e+002, -9.05562072568e-010, +1.48821982201e+006
+2.80000000000e+002, -9.31996221401e-010, +1.35776415594e+006
+3.00000000000e+002, -1.81467683608e-009, +1.35065679411e+006
+3.20000000000e+002, -1.12741811697e-009, +1.39399407960e+006
+3.40000000000e+002, -1.78050563914e-009, +1.28991022152e+006
+3.60000000000e+002, -1.34009684811e-009, +1.21203398063e+006
+3.80000000000e+002, -2.22818434061e-009, +1.25322251744e+006
+4.00000000000e+002, -1.46999627191e-009, +1.20586511127e+006
+4.20000000000e+002, -2.98349771166e-009, +1.11364994290e+006
+4.40000000000e+002, -3.12349406098e-009, +1.16938412030e+006
+4.60000000000e+002, -3.01496425777e-009, +1.08410401258e+006
+4.80000000000e+002, -1.85356272718e-009, +1.14840523491e+006
+5.00000000000e+002, -2.01783525487e-009, +1.07809943650e+006
END
