!Agilent Technologies,E4990A,MY54202069,A.02.20
!Date: Tue Mar 03 03:15:22 2026

BEGIN CH1_DATA
Frequency(Hz), Cs(F)-data, Rs(Ohm)-data
+2.00000000000e+001, +1.82260462391e-009, +8.45342235794e+006
+4.00000000000e+001, +1.86569085823e-008, -1.33997870855e+005
+6.00000000000e+001, +8.86710892355e-009, -1.22348091396e+005
+8.00000000000e+001, +5.53934050721e-009, +5.79473213448e+005
+1.00000000000e+002, -2.04739670787e-008, +3.32638687205e+005
+1.20000000000e+002, -1.23038305824e-008, +4.07969796250e+005
+1.40000000000e+002, -6.96093958507e-009, +5.28153030304e+005
+1.60000000000e+002, -3.77551230583e-009, +7.19877864774e+005
+1.80000000000e+002, -1.83164586870e-009, +1.04705273979e+006
+2.00000000000e+002, -7.47977424692e-010, +1.66863595724e+006
+2.20000000000e+002, -8.37486121132e-010, +1.65811469662e+006
+2.40000000000e+002, -8.67989048463e-010, +1.56729529205e+006
+2.60000000000e+002, -1.08127743114e-009, +1.52035842985e+006
+2.80000000000e+002, -1.27616614891e-009, +1.45128205494e+006
+3.00000000000e+002, -1.05537311561e-009, +1.39226440181e+006
+3.20000000000e+002, -1.57568178539e-009, +1.26659402532e+006
+3.40000000000e+002, -1.76046156094e-009, +1.25349617744e+006
+3.60000000000e+002, -1.68674274466e-009, +1.28111730752e+006
+3.80000000000e+002, -1.94296422038e-009, +1.15443397558e+006
+4.00000000000e+002, -2.58357064595e-009, +1.19478541829e+006
+4.20000000000e+002, -1.69896682660e-009, +1.13536250539e+006
+4.40000000000e+002, -2.43005375428e-009, +1.09867207272e+006
+4.60000000000e+002, -2.39529572489e-009, +1.08380217700e+006
+4.80000000000e+002, -3.79629717798e-009, +1.16603408665e+006
+5.00000000000e+002, -2.27255440572e-009, +1.14636923588e+006
END
