!Agilent Technologies,E4990A,MY54202069,A.02.20
!Date: Tue Mar 03 03:08:33 2026

BEGIN CH1_DATA
Frequency(Hz), Cs(F)-data, Rs(Ohm)-data
+2.00000000000e+001, +1.95892986659e-009, +8.76035482234e+006
+4.00000000000e+001, +1.84543728277e-008, -1.46425229724e+005
+6.00000000000e+001, +8.28686501602e-009, -1.24133504820e+005
+8.00000000000e+001, +5.67045110649e-009, +5.85246353347e+005
+1.00000000000e+002, -2.05678663729e-008, +3.24896127196e+005
+1.20000000000e+002, -1.18678038331e-008, +4.05217558128e+005
+1.40000000000e+002, -6.87847420404e-009, +5.28658887794e+005
+1.60000000000e+002, -3.85272399187e-009, +7.22850175499e+005
+1.80000000000e+002, -1.91145859370e-009, +1.05762250736e+006
+2.00000000000e+002, -7.06612681129e-010, +1.64039845542e+006
+2.20000000000e+002, -8.53844582602e-010, +1.60516714340e+006
+2.40000000000e+002, -8.88091463501e-010, +1.55131353121e+006
+2.60000000000e+002, -9.54559728375e-010, +1.47963863890e+006
+2.80000000000e+002, -1.03020260141e-009, +1.37906092642e+006
+3.00000000000e+002, -1.50150889891e-009, +1.37982597823e+006
+3.20000000000e+002, -1.19930127966e-009, +1.34294269301e+006
+3.40000000000e+002, -1.59681770734e-009, +1.29005080672e+006
+3.60000000000e+002, -1.49486111942e-009, +1.21013983287e+006
+3.80000000000e+002, -1.83404727412e-009, +1.23852096562e+006
+4.00000000000e+002, -1.63674631858e-009, +1.17171021533e+006
+4.20000000000e+002, -2.64764185594e-009, +1.14465132336e+006
+4.40000000000e+002, -2.46889434007e-009, +1.16119865899e+006
+4.60000000000e+002, -3.02924013080e-009, +1.11365666894e+006
+4.80000000000e+002, -2.10855647948e-009, +1.10289911885e+006
+5.00000000000e+002, -2.77215181878e-009, +1.06863024532e+006
END
