!Agilent Technologies,E4990A,MY54202069,A.02.20
!Date: Tue Mar 03 03:09:06 2026

BEGIN CH1_DATA
Frequency(Hz), Cs(F)-data, Rs(Ohm)-data
+2.00000000000e+001, +1.91226064456e-009, +8.40952378757e+006
+4.00000000000e+001, +1.81898696992e-008, -1.38371085026e+005
+6.00000000000e+001, +8.60228662971e-009, -1.16235685646e+005
+8.00000000000e+001, +5.67251101277e-009, +6.00314589613e+005
+1.00000000000e+002, -1.77723313138e-008, +3.20009691875e+005
+1.20000000000e+002, -1.10525905386e-008, +4.05063702417e+005
+1.40000000000e+002, -6.93246830491e-009, +5.28597910012e+005
+1.60000000000e+002, -3.95818913774e-009, +7.20110899834e+005
+1.80000000000e+002, -1.94484742930e-009, +1.05399570766e+006
+2.00000000000e+002, -7.33002262553e-010, +1.71668697007e+006
+2.20000000000e+002, -8.13671609613e-010, +1.64538403823e+006
+2.40000000000e+002, -8.98868362667e-010, +1.55931444042e+006
+2.60000000000e+002, -1.04238619348e-009, +1.46640933907e+006
+2.80000000000e+002, -1.16368539272e-009, +1.38214449057e+006
+3.00000000000e+002, -1.29850357135e-009, +1.44371730541e+006
+3.20000000000e+002, -1.24068665378e-009, +1.27993759295e+006
+3.40000000000e+002, -1.52753473298e-009, +1.32430985202e+006
+3.60000000000e+002, -1.87443301169e-009, +1.23457404776e+006
+3.80000000000e+002, -1.95982867628e-009, +1.23591220062e+006
+4.00000000000e+002, -1.63726211503e-009, +1.18341661423e+006
+4.20000000000e+002, -2.64783932783e-009, +1.14026160385e+006
+4.40000000000e+002, -2.23605801507e-009, +1.10425605223e+006
+4.60000000000e+002, -2.94697920384e-009, +1.14436139755e+006
+4.80000000000e+002, -3.19358224210e-009, +1.11415774238e+006
+5.00000000000e+002, -2.98460396096e-009, +1.11741279777e+006
END
