!Agilent Technologies,E4990A,MY54202069,A.02.20
!Date: Tue Mar 03 03:07:45 2026

BEGIN CH1_DATA
Frequency(Hz), Cs(F)-data, Rs(Ohm)-data
+2.00000000000e+001, +1.90701854486e-009, +8.43386466702e+006
+4.00000000000e+001, +1.84034568341e-008, -1.37678499646e+005
+6.00000000000e+001, +8.66224767725e-009, -1.19959665655e+005
+8.00000000000e+001, +5.68962104734e-009, +5.88082444219e+005
+1.00000000000e+002, -1.97531434877e-008, +3.23120976016e+005
+1.20000000000e+002, -1.17213991470e-008, +4.04052655799e+005
+1.40000000000e+002, -6.92942600750e-009, +5.28308234423e+005
+1.60000000000e+002, -3.87112765467e-009, +7.22489701666e+005
+1.80000000000e+002, -1.91253719244e-009, +1.05535439645e+006
+2.00000000000e+002, -7.07234563472e-010, +1.64621736591e+006
+2.20000000000e+002, -8.22051730989e-010, +1.65485787908e+006
+2.40000000000e+002, -9.11584584598e-010, +1.55002415541e+006
+2.60000000000e+002, -1.05652542925e-009, +1.47697740606e+006
+2.80000000000e+002, -1.27127891766e-009, +1.42113586777e+006
+3.00000000000e+002, -1.09290769657e-009, +1.39386164910e+006
+3.20000000000e+002, -1.46304845297e-009, +1.28111270595e+006
+3.40000000000e+002, -1.61605953267e-009, +1.25084023921e+006
+3.60000000000e+002, -1.74062618324e-009, +1.25688556889e+006
+3.80000000000e+002, -1.91089808583e-009, +1.16843638079e+006
+4.00000000000e+002, -2.39887656041e-009, +1.19071383599e+006
+4.20000000000e+002, -1.81759196234e-009, +1.13485400295e+006
+4.40000000000e+002, -2.50334176059e-009, +1.11077884466e+006
+4.60000000000e+002, -2.61122905488e-009, +1.09218202599e+006
+4.80000000000e+002, -2.98698945826e-009, +1.15395660519e+006
+5.00000000000e+002, -2.29549078802e-009, +1.11750880462e+006
END
