!Agilent Technologies,E4990A,MY54202069,A.02.20
!Date: Tue Mar 03 03:06:15 2026

BEGIN CH1_DATA
Frequency(Hz), Cs(F)-data, Rs(Ohm)-data
+2.00000000000e+001, +1.86644539693e-009, +8.48422093745e+006
+4.00000000000e+001, +1.85491596585e-008, -1.36630993108e+005
+6.00000000000e+001, +8.72545665434e-009, -1.22439327261e+005
+8.00000000000e+001, +5.60809691884e-009, +5.82162533652e+005
+1.00000000000e+002, -2.04771841679e-008, +3.28957733627e+005
+1.20000000000e+002, -1.21136774592e-008, +4.06952579241e+005
+1.40000000000e+002, -6.94117684726e-009, +5.28657842389e+005
+1.60000000000e+002, -3.80287400576e-009, +7.20193543776e+005
+1.80000000000e+002, -1.85026080503e-009, +1.04968178879e+006
+2.00000000000e+002, -7.39910528083e-010, +1.67013590333e+006
+2.20000000000e+002, -8.30623988931e-010, +1.65275349323e+006
+2.40000000000e+002, -8.76599488762e-010, +1.56584207465e+006
+2.60000000000e+002, -1.06401373895e-009, +1.51752535248e+006
+2.80000000000e+002, -1.23338562598e-009, +1.45994831660e+006
+3.00000000000e+002, -1.07095774251e-009, +1.36374930158e+006
+3.20000000000e+002, -1.61321212791e-009, +1.29530063264e+006
+3.40000000000e+002, -1.74216680530e-009, +1.28103121150e+006
+3.60000000000e+002, -1.50279993091e-009, +1.26705048558e+006
+3.80000000000e+002, -2.18565359485e-009, +1.18723466642e+006
+4.00000000000e+002, -1.98422818861e-009, +1.22186952716e+006
+4.20000000000e+002, -2.02074771865e-009, +1.11277240639e+006
+4.40000000000e+002, -2.79319549802e-009, +1.12447621415e+006
+4.60000000000e+002, -3.31190798496e-009, +1.10625370652e+006
+4.80000000000e+002, -1.98207008520e-009, +1.12593651500e+006
+5.00000000000e+002, -2.48453153594e-009, +1.05984047241e+006
END
