!Agilent Technologies,E4990A,MY54202069,A.02.20
!Date: Tue Mar 03 03:08:04 2026

BEGIN CH1_DATA
Frequency(Hz), Cs(F)-data, Rs(Ohm)-data
+2.00000000000e+001, +1.82893147060e-009, +8.47016981098e+006
+4.00000000000e+001, +1.87189756319e-008, -1.37146065731e+005
+6.00000000000e+001, +8.73591560015e-009, -1.25384428789e+005
+8.00000000000e+001, +5.37082848499e-009, +5.87909048093e+005
+1.00000000000e+002, -1.83102562630e-008, +3.38721654981e+005
+1.20000000000e+002, -1.17123673671e-008, +4.15397919613e+005
+1.40000000000e+002, -6.91190039009e-009, +5.29168317659e+005
+1.60000000000e+002, -3.83416832071e-009, +7.12288231780e+005
+1.80000000000e+002, -1.91400727190e-009, +1.02898833515e+006
+2.00000000000e+002, -6.94562156527e-010, +1.70755425816e+006
+2.20000000000e+002, -7.97659779391e-010, +1.62219263348e+006
+2.40000000000e+002, -9.08743978517e-010, +1.56310074205e+006
+2.60000000000e+002, -9.68032506653e-010, +1.46529906251e+006
+2.80000000000e+002, -1.08942848414e-009, +1.35382987257e+006
+3.00000000000e+002, -1.40753409761e-009, +1.41781270892e+006
+3.20000000000e+002, -1.18007016354e-009, +1.29632585975e+006
+3.40000000000e+002, -1.38100738249e-009, +1.24618466763e+006
+3.60000000000e+002, -1.57428930889e-009, +1.18997077361e+006
+3.80000000000e+002, -1.85005634335e-009, +1.15814218468e+006
+4.00000000000e+002, -2.47127916841e-009, +1.18651985999e+006
+4.20000000000e+002, -1.78392010385e-009, +1.13740669003e+006
+4.40000000000e+002, -2.38204636862e-009, +1.16751464010e+006
+4.60000000000e+002, -3.20155127554e-009, +1.11602180266e+006
+4.80000000000e+002, -1.99264244862e-009, +1.13365301116e+006
+5.00000000000e+002, -2.54882528298e-009, +1.05743894781e+006
END
