!Agilent Technologies,E4990A,MY54202069,A.02.20
!Date: Tue Mar 03 03:07:28 2026

BEGIN CH1_DATA
Frequency(Hz), Cs(F)-data, Rs(Ohm)-data
+2.00000000000e+001, +1.91423044409e-009, +8.75538389179e+006
+4.00000000000e+001, +1.86624266328e-008, -1.45497494685e+005
+6.00000000000e+001, +8.68727779057e-009, -1.21714908196e+005
+8.00000000000e+001, +5.63687317312e-009, +5.84377874362e+005
+1.00000000000e+002, -2.01713827356e-008, +3.26305509921e+005
+1.20000000000e+002, -1.19420792612e-008, +4.05412911416e+005
+1.40000000000e+002, -6.92683094524e-009, +5.28539789758e+005
+1.60000000000e+002, -3.83198364478e-009, +7.21475101202e+005
+1.80000000000e+002, -1.88663134256e-009, +1.05632164626e+006
+2.00000000000e+002, -7.20888714069e-010, +1.63866323915e+006
+2.20000000000e+002, -8.42096629816e-010, +1.61149936319e+006
+2.40000000000e+002, -9.02991479693e-010, +1.57897781917e+006
+2.60000000000e+002, -1.03837842751e-009, +1.46839215653e+006
+2.80000000000e+002, -1.14711283254e-009, +1.38076578330e+006
+3.00000000000e+002, -1.30879478659e-009, +1.43087191206e+006
+3.20000000000e+002, -1.22866555846e-009, +1.27578861801e+006
+3.40000000000e+002, -1.46965117599e-009, +1.23899934719e+006
+3.60000000000e+002, -1.84785825632e-009, +1.21371555580e+006
+3.80000000000e+002, -1.51993861704e-009, +1.19836890611e+006
+4.00000000000e+002, -2.01789967214e-009, +1.13333995336e+006
+4.20000000000e+002, -2.11211923432e-009, +1.18755616500e+006
+4.40000000000e+002, -1.97251065817e-009, +1.13363271029e+006
+4.60000000000e+002, -2.34857412042e-009, +1.13796468874e+006
+4.80000000000e+002, -3.69960593159e-009, +1.06809164089e+006
+5.00000000000e+002, -6.09585170922e-009, +1.10534391721e+006
END
