!Agilent Technologies,E4990A,MY54202069,A.02.20
!Date: Tue Mar 03 03:05:19 2026

BEGIN CH1_DATA
Frequency(Hz), Cs(F)-data, Rs(Ohm)-data
+2.00000000000e+001, +1.95692389937e-009, +8.36381696635e+006
+4.00000000000e+001, +1.79508229528e-008, -1.39310430270e+005
+6.00000000000e+001, +8.53779661106e-009, -1.11994178247e+005
+8.00000000000e+001, +5.56307672645e-009, +6.07188308624e+005
+1.00000000000e+002, -1.64373793041e-008, +3.22783997823e+005
+1.20000000000e+002, -1.14452518915e-008, +4.01782596982e+005
+1.40000000000e+002, -6.86641380145e-009, +5.30081813927e+005
+1.60000000000e+002, -3.93902239594e-009, +7.25889151857e+005
+1.80000000000e+002, -1.92937333714e-009, +1.05691444088e+006
+2.00000000000e+002, -6.86861508012e-010, +1.68520837962e+006
+2.20000000000e+002, -7.94108680590e-010, +1.56654871867e+006
+2.40000000000e+002, -9.01834592615e-010, +1.58600739977e+006
+2.60000000000e+002, -1.05234342690e-009, +1.55747198676e+006
+2.80000000000e+002, -1.08164816401e-009, +1.51182740497e+006
+3.00000000000e+002, -1.14127042673e-009, +1.27958041943e+006
+3.20000000000e+002, -1.69719786084e-009, +1.35140902109e+006
+3.40000000000e+002, -1.46126702294e-009, +1.21944283748e+006
+3.60000000000e+002, -1.83015312758e-009, +1.26912032970e+006
+3.80000000000e+002, -1.83316811443e-009, +1.14731306066e+006
+4.00000000000e+002, -2.66145683857e-009, +1.19219691503e+006
+4.20000000000e+002, -1.70149260273e-009, +1.12538853929e+006
+4.40000000000e+002, -2.51315449066e-009, +1.10158577400e+006
+4.60000000000e+002, -3.29207311343e-009, +1.09365415870e+006
+4.80000000000e+002, -4.07663023001e-009, +1.10398083906e+006
+5.00000000000e+002, -4.00949855787e-009, +1.12400597813e+006
END
