!Agilent Technologies,E4990A,MY54202069,A.02.20
!Date: Tue Mar 03 03:08:46 2026

BEGIN CH1_DATA
Frequency(Hz), Cs(F)-data, Rs(Ohm)-data
+2.00000000000e+001, +1.97535368850e-009, +8.51371825193e+006
+4.00000000000e+001, +1.82614720550e-008, -1.46205519027e+005
+6.00000000000e+001, +8.27276867734e-009, -1.20400348844e+005
+8.00000000000e+001, +5.53613468027e-009, +5.81641012762e+005
+1.00000000000e+002, -2.06123960271e-008, +3.31881322620e+005
+1.20000000000e+002, -1.20507557526e-008, +4.08803183363e+005
+1.40000000000e+002, -6.92404943940e-009, +5.28996414509e+005
+1.60000000000e+002, -3.81200376209e-009, +7.19964595367e+005
+1.80000000000e+002, -1.85712852250e-009, +1.05550466163e+006
+2.00000000000e+002, -7.40867260404e-010, +1.65613174895e+006
+2.20000000000e+002, -8.23711606054e-010, +1.65894860026e+006
+2.40000000000e+002, -9.12816866785e-010, +1.54891712632e+006
+2.60000000000e+002, -1.05226740843e-009, +1.46443589181e+006
+2.80000000000e+002, -1.27764253007e-009, +1.39367306893e+006
+3.00000000000e+002, -1.11544977266e-009, +1.42715291822e+006
+3.20000000000e+002, -1.35326321878e-009, +1.26603616276e+006
+3.40000000000e+002, -1.53010894669e-009, +1.24067109782e+006
+3.60000000000e+002, -1.88625935280e-009, +1.23766685222e+006
+3.80000000000e+002, -1.61375315891e-009, +1.16912154700e+006
+4.00000000000e+002, -2.39260547872e-009, +1.14772113931e+006
+4.20000000000e+002, -1.82686917265e-009, +1.17643714359e+006
+4.40000000000e+002, -2.04453483648e-009, +1.11262308961e+006
+4.60000000000e+002, -2.13233191045e-009, +1.11977915375e+006
+4.80000000000e+002, -5.16416370930e-009, +1.09412983976e+006
+5.00000000000e+002, -5.20341942277e-009, +1.13581851033e+006
END
