!Agilent Technologies,E4990A,MY54202069,A.02.20
!Date: Tue Mar 03 03:06:01 2026

BEGIN CH1_DATA
Frequency(Hz), Cs(F)-data, Rs(Ohm)-data
+2.00000000000e+001, +2.00342875697e-009, +8.50853289096e+006
+4.00000000000e+001, +1.81250405914e-008, -1.44502830503e+005
+6.00000000000e+001, +8.34474861310e-009, -1.16442405723e+005
+8.00000000000e+001, +5.38074008265e-009, +5.90311628813e+005
+1.00000000000e+002, -1.79516745639e-008, +3.37496899616e+005
+1.20000000000e+002, -1.15691740369e-008, +4.15290423104e+005
+1.40000000000e+002, -6.89305072730e-009, +5.29151548745e+005
+1.60000000000e+002, -3.85136296318e-009, +7.11932092993e+005
+1.80000000000e+002, -1.93119952737e-009, +1.03390216041e+006
+2.00000000000e+002, -6.92301948685e-010, +1.68505903361e+006
+2.20000000000e+002, -7.96643520663e-010, +1.61767200976e+006
+2.40000000000e+002, -9.07352556708e-010, +1.56393682715e+006
+2.60000000000e+002, -1.01135107845e-009, +1.45484130320e+006
+2.80000000000e+002, -1.19702428272e-009, +1.36362684446e+006
+3.00000000000e+002, -1.24749553943e-009, +1.43570746052e+006
+3.20000000000e+002, -1.22657523909e-009, +1.26683941584e+006
+3.40000000000e+002, -1.45780044061e-009, +1.25259988929e+006
+3.60000000000e+002, -1.72804614343e-009, +1.18897270382e+006
+3.80000000000e+002, -2.07384245121e-009, +1.16693477439e+006
+4.00000000000e+002, -2.24478009314e-009, +1.21288503581e+006
+4.20000000000e+002, -1.88926838786e-009, +1.11460903601e+006
+4.40000000000e+002, -2.01332286776e-009, +1.16276414822e+006
+4.60000000000e+002, -2.89853864254e-009, +1.13897394316e+006
+4.80000000000e+002, -1.96208256762e-009, +1.08659878568e+006
+5.00000000000e+002, -3.74125878415e-009, +1.04923352121e+006
END
