!Agilent Technologies,E4990A,MY54202069,A.02.20
!Date: Tue Mar 03 03:06:30 2026

BEGIN CH1_DATA
Frequency(Hz), Cs(F)-data, Rs(Ohm)-data
+2.00000000000e+001, +1.86599531376e-009, +8.43927755272e+006
+4.00000000000e+001, +1.84921758060e-008, -1.36419070091e+005
+6.00000000000e+001, +8.23168433956e-009, -1.22538021516e+005
+8.00000000000e+001, +5.60764541389e-009, +5.80554272368e+005
+1.00000000000e+002, -2.12606997421e-008, +3.30137325003e+005
+1.20000000000e+002, -1.21613241876e-008, +4.07943930837e+005
+1.40000000000e+002, -6.90620714764e-009, +5.29108497489e+005
+1.60000000000e+002, -3.80396333922e-009, +7.20105605476e+005
+1.80000000000e+002, -1.84311188807e-009, +1.05312723043e+006
+2.00000000000e+002, -7.44740401180e-010, +1.67096908777e+006
+2.20000000000e+002, -8.06906894969e-010, +1.66698065385e+006
+2.40000000000e+002, -9.17381172093e-010, +1.55472001563e+006
+2.60000000000e+002, -1.08234439607e-009, +1.49404256751e+006
+2.80000000000e+002, -1.29805994351e-009, +1.46093066256e+006
+3.00000000000e+002, -1.06312607899e-009, +1.34987790110e+006
+3.20000000000e+002, -1.58364548823e-009, +1.29896926230e+006
+3.40000000000e+002, -1.72768555851e-009, +1.27106509914e+006
+3.60000000000e+002, -1.54792841802e-009, +1.25463155087e+006
+3.80000000000e+002, -2.22131718534e-009, +1.19328870512e+006
+4.00000000000e+002, -1.94633703291e-009, +1.22367706419e+006
+4.20000000000e+002, -2.14980965598e-009, +1.10747865008e+006
+4.40000000000e+002, -2.82922239825e-009, +1.12938737672e+006
+4.60000000000e+002, -3.43562672729e-009, +1.11179189300e+006
+4.80000000000e+002, -1.89402722916e-009, +1.11233322535e+006
+5.00000000000e+002, -2.65100983918e-009, +1.05257687320e+006
END
