!Agilent Technologies,E4990A,MY54202069,A.02.20
!Date: Tue Mar 03 03:09:56 2026

BEGIN CH1_DATA
Frequency(Hz), Cs(F)-data, Rs(Ohm)-data
+2.00000000000e+001, +1.95141192284e-009, +8.80450573132e+006
+4.00000000000e+001, +1.85016683631e-008, -1.47179750165e+005
+6.00000000000e+001, +8.25198893909e-009, -1.24990479860e+005
+8.00000000000e+001, +5.68815990838e-009, +5.83782404187e+005
+1.00000000000e+002, -2.09959321308e-008, +3.24681996025e+005
+1.20000000000e+002, -1.19572087328e-008, +4.04866591320e+005
+1.40000000000e+002, -6.87768539855e-009, +5.28750470912e+005
+1.60000000000e+002, -3.83740293432e-009, +7.23155223748e+005
+1.80000000000e+002, -1.89496829529e-009, +1.06161034760e+006
+2.00000000000e+002, -7.18257853100e-010, +1.63360764087e+006
+2.20000000000e+002, -8.61352771491e-010, +1.62600932355e+006
+2.40000000000e+002, -8.95515354009e-010, +1.54600238215e+006
+2.60000000000e+002, -9.82700385886e-010, +1.45216221076e+006
+2.80000000000e+002, -1.14019163140e-009, +1.35052741415e+006
+3.00000000000e+002, -1.11581349080e-009, +1.32532345294e+006
+3.20000000000e+002, -1.65141798772e-009, +1.33589324751e+006
+3.40000000000e+002, -1.67658586813e-009, +1.30972628999e+006
+3.60000000000e+002, -1.43509927117e-009, +1.23783683897e+006
+3.80000000000e+002, -2.20229543615e-009, +1.22080686732e+006
+4.00000000000e+002, -1.72967242603e-009, +1.21188248636e+006
+4.20000000000e+002, -2.36584427120e-009, +1.11393543189e+006
+4.40000000000e+002, -2.81979706730e-009, +1.13951063530e+006
+4.60000000000e+002, -3.38549071976e-009, +1.12797155619e+006
+4.80000000000e+002, -2.00765541254e-009, +1.08951318161e+006
+5.00000000000e+002, -3.30386106805e-009, +1.05037828169e+006
END
