!Agilent Technologies,E4990A,MY54202069,A.02.20
!Date: Tue Mar 03 03:09:21 2026

BEGIN CH1_DATA
Frequency(Hz), Cs(F)-data, Rs(Ohm)-data
+2.00000000000e+001, +1.88584152373e-009, +8.75201590835e+006
+4.00000000000e+001, +1.84896093479e-008, -1.36837028224e+005
+6.00000000000e+001, +8.70619370571e-009, -1.21330102885e+005
+8.00000000000e+001, +5.65835414286e-009, +5.84645813583e+005
+1.00000000000e+002, -2.02369328444e-008, +3.25279820871e+005
+1.20000000000e+002, -1.19111842851e-008, +4.04617538967e+005
+1.40000000000e+002, -6.94028829899e-009, +5.28419660534e+005
+1.60000000000e+002, -3.84532772791e-009, +7.22909870199e+005
+1.80000000000e+002, -1.90075577845e-009, +1.05818089043e+006
+2.00000000000e+002, -7.15059428216e-010, +1.63858093760e+006
+2.20000000000e+002, -8.32506131490e-010, +1.58980665198e+006
+2.40000000000e+002, -9.13492600301e-010, +1.57937521230e+006
+2.60000000000e+002, -1.01005859222e-009, +1.46361895715e+006
+2.80000000000e+002, -1.08850807139e-009, +1.37968834027e+006
+3.00000000000e+002, -1.45448399324e-009, +1.40850075570e+006
+3.20000000000e+002, -1.16953368456e-009, +1.31073018962e+006
+3.40000000000e+002, -1.57953310489e-009, +1.29898717631e+006
+3.60000000000e+002, -1.65591275214e-009, +1.19835660069e+006
+3.80000000000e+002, -1.59831577200e-009, +1.23579071940e+006
+4.00000000000e+002, -1.72376071473e-009, +1.14293325326e+006
+4.20000000000e+002, -2.63407284647e-009, +1.17111566912e+006
+4.40000000000e+002, -2.20386526010e-009, +1.16088411349e+006
+4.60000000000e+002, -2.99673802175e-009, +1.13430232338e+006
+4.80000000000e+002, -2.36133881958e-009, +1.06812448773e+006
+5.00000000000e+002, -3.87583956709e-009, +1.06025343411e+006
END
