!Agilent Technologies,E4990A,MY54202069,A.02.20
!Date: Tue Mar 03 03:04:45 2026

BEGIN CH1_DATA
Frequency(Hz), Cs(F)-data, Rs(Ohm)-data
+2.00000000000e+001, +2.04129666182e-009, +8.58488582455e+006
+4.00000000000e+001, +1.81496312961e-008, -1.44315516299e+005
+6.00000000000e+001, +8.34681966996e-009, -1.17066535504e+005
+8.00000000000e+001, +5.40305673543e-009, +5.90047266283e+005
+1.00000000000e+002, -1.81806866834e-008, +3.36361574139e+005
+1.20000000000e+002, -1.16328079950e-008, +4.14374388813e+005
+1.40000000000e+002, -6.90631804532e-009, +5.29109216161e+005
+1.60000000000e+002, -3.85087121613e-009, +7.13256839428e+005
+1.80000000000e+002, -1.92106596923e-009, +1.03537909542e+006
+2.00000000000e+002, -6.99039050517e-010, +1.69437554683e+006
+2.20000000000e+002, -8.04576190391e-010, +1.62653950885e+006
+2.40000000000e+002, -9.09117669302e-010, +1.56320850500e+006
+2.60000000000e+002, -9.78477852312e-010, +1.46866319517e+006
+2.80000000000e+002, -1.08776256050e-009, +1.37164785791e+006
+3.00000000000e+002, -1.37568007524e-009, +1.40538492827e+006
+3.20000000000e+002, -1.20571639468e-009, +1.30660786428e+006
+3.40000000000e+002, -1.39347275771e-009, +1.25233694124e+006
+3.60000000000e+002, -1.55888702651e-009, +1.20028503977e+006
+3.80000000000e+002, -1.78570746062e-009, +1.16722128873e+006
+4.00000000000e+002, -2.33569023601e-009, +1.17567289641e+006
+4.20000000000e+002, -1.83385385668e-009, +1.14893635961e+006
+4.40000000000e+002, -2.53683180701e-009, +1.15755580105e+006
+4.60000000000e+002, -2.99434095174e-009, +1.10679602122e+006
+4.80000000000e+002, -2.29792852718e-009, +1.14337111396e+006
+5.00000000000e+002, -2.40145883194e-009, +1.07897286795e+006
END
