!Agilent Technologies,E4990A,MY54202069,A.02.20
!Date: Tue Mar 03 03:07:08 2026

BEGIN CH1_DATA
Frequency(Hz), Cs(F)-data, Rs(Ohm)-data
+2.00000000000e+001, +1.98886678966e-009, +8.55041757358e+006
+4.00000000000e+001, +1.86630314556e-008, -1.46275095620e+005
+6.00000000000e+001, +8.31320778157e-009, -1.28363998185e+005
+8.00000000000e+001, +5.75571986901e-009, +5.94357919804e+005
+1.00000000000e+002, -1.92332369768e-008, +3.18272651897e+005
+1.20000000000e+002, -1.13464242051e-008, +4.03417006985e+005
+1.40000000000e+002, -6.88779802453e-009, +5.30078448733e+005
+1.60000000000e+002, -3.94778889311e-009, +7.22905099490e+005
+1.80000000000e+002, -1.92767994406e-009, +1.05521070463e+006
+2.00000000000e+002, -6.97154081176e-010, +1.70481209526e+006
+2.20000000000e+002, -7.78623033472e-010, +1.59290131183e+006
+2.40000000000e+002, -9.22796279704e-010, +1.57951507689e+006
+2.60000000000e+002, -1.09759861252e-009, +1.51760073108e+006
+2.80000000000e+002, -1.21275881203e-009, +1.47521659179e+006
+3.00000000000e+002, -1.05595534449e-009, +1.34070378466e+006
+3.20000000000e+002, -1.60263971952e-009, +1.29549614525e+006
+3.40000000000e+002, -1.31551361055e-009, +1.24834795449e+006
+3.60000000000e+002, -1.85272914884e-009, +1.22135245889e+006
+3.80000000000e+002, -1.53001717396e-009, +1.17893660878e+006
+4.00000000000e+002, -2.32007264462e-009, +1.14094776480e+006
+4.20000000000e+002, -1.80493092376e-009, +1.17548853035e+006
+4.40000000000e+002, -2.11706394568e-009, +1.10967926536e+006
+4.60000000000e+002, -2.27589323677e-009, +1.08797113817e+006
+4.80000000000e+002, -2.86588145598e-009, +1.08896628493e+006
+5.00000000000e+002, -3.78983166819e-009, +1.09004741369e+006
END
