!Agilent Technologies,E4990A,MY54202069,A.02.20
!Date: Tue Mar 03 03:05:37 2026

BEGIN CH1_DATA
Frequency(Hz), Cs(F)-data, Rs(Ohm)-data
+2.00000000000e+001, +1.97410563251e-009, +8.73470973658e+006
+4.00000000000e+001, +1.86089089035e-008, -1.46964940923e+005
+6.00000000000e+001, +8.26953962272e-009, -1.27118433271e+005
+8.00000000000e+001, +5.75216456930e-009, +5.88372379680e+005
+1.00000000000e+002, -2.04767757406e-008, +3.20596064583e+005
+1.20000000000e+002, -1.17371184556e-008, +4.03161219547e+005
+1.40000000000e+002, -6.86938412200e-009, +5.29386312565e+005
+1.60000000000e+002, -3.87615432952e-009, +7.24210536797e+005
+1.80000000000e+002, -1.91253439154e-009, +1.05995497243e+006
+2.00000000000e+002, -6.99952578758e-010, +1.64589256745e+006
+2.20000000000e+002, -8.49088222581e-010, +1.58338529732e+006
+2.40000000000e+002, -8.78699444954e-010, +1.55839230304e+006
+2.60000000000e+002, -9.42488625512e-010, +1.49784919939e+006
+2.80000000000e+002, -9.87746019520e-010, +1.39138536380e+006
+3.00000000000e+002, -1.55729380885e-009, +1.35933676616e+006
+3.20000000000e+002, -1.19368146208e-009, +1.35895196876e+006
+3.40000000000e+002, -1.63127847407e-009, +1.28986071627e+006
+3.60000000000e+002, -1.47170678337e-009, +1.20643148256e+006
+3.80000000000e+002, -1.86548760049e-009, +1.24594593363e+006
+4.00000000000e+002, -1.59547659893e-009, +1.16730434287e+006
+4.20000000000e+002, -2.78972679708e-009, +1.15206627894e+006
+4.40000000000e+002, -2.37956152274e-009, +1.16713834154e+006
+4.60000000000e+002, -3.19785457995e-009, +1.12399551441e+006
+4.80000000000e+002, -2.08763601911e-009, +1.07896502738e+006
+5.00000000000e+002, -3.25615789442e-009, +1.05344087744e+006
END
