!Agilent Technologies,E4990A,MY54202069,A.02.20
!Date: Tue Mar 03 03:10:32 2026

BEGIN CH1_DATA
Frequency(Hz), Cs(F)-data, Rs(Ohm)-data
+2.00000000000e+001, +2.03526059048e-009, +8.68188650620e+006
+4.00000000000e+001, +1.83553063756e-008, -1.46278520472e+005
+6.00000000000e+001, +8.28064736026e-009, -1.22164560985e+005
+8.00000000000e+001, +5.59775998631e-009, +5.82894124296e+005
+1.00000000000e+002, -2.06886513143e-008, +3.28434128548e+005
+1.20000000000e+002, -1.19879463859e-008, +4.07148567130e+005
+1.40000000000e+002, -6.88747120044e-009, +5.28609319549e+005
+1.60000000000e+002, -3.83170236964e-009, +7.21416816354e+005
+1.80000000000e+002, -1.88185261167e-009, +1.05895509760e+006
+2.00000000000e+002, -7.24484246139e-010, +1.64022308565e+006
+2.20000000000e+002, -8.47231817101e-010, +1.63724196544e+006
+2.40000000000e+002, -9.01034553021e-010, +1.54415525492e+006
+2.60000000000e+002, -9.95641409782e-010, +1.45689912640e+006
+2.80000000000e+002, -1.14588235126e-009, +1.36135066402e+006
+3.00000000000e+002, -1.33057657991e-009, +1.44078173398e+006
+3.20000000000e+002, -1.21725412329e-009, +1.28964253484e+006
+3.40000000000e+002, -1.51550107091e-009, +1.29554731296e+006
+3.60000000000e+002, -1.74802261970e-009, +1.20180543877e+006
+3.80000000000e+002, -1.54818851441e-009, +1.21762347971e+006
+4.00000000000e+002, -1.86014726283e-009, +1.13423324140e+006
+4.20000000000e+002, -2.35914671743e-009, +1.18251270342e+006
+4.40000000000e+002, -2.03141074514e-009, +1.14674989791e+006
+4.60000000000e+002, -2.61887505181e-009, +1.14113125341e+006
+4.80000000000e+002, -2.86253419793e-009, +1.06137502544e+006
+5.00000000000e+002, -2.48662557905e-009, +1.06775693161e+006
END
