!Agilent Technologies,E4990A,MY54202069,A.02.20
!Date: Tue Mar 03 03:06:45 2026

BEGIN CH1_DATA
Frequency(Hz), Cs(F)-data, Rs(Ohm)-data
+2.00000000000e+001, +1.97297033653e-009, +8.73971402632e+006
+4.00000000000e+001, +1.84569042116e-008, -1.47196053168e+005
+6.00000000000e+001, +8.25526546439e-009, -1.23766865352e+005
+8.00000000000e+001, +5.64253514951e-009, +5.82354405640e+005
+1.00000000000e+002, -2.10172764239e-008, +3.27466455908e+005
+1.20000000000e+002, -1.20365833882e-008, +4.06500309808e+005
+1.40000000000e+002, -6.89244462280e-009, +5.28463794820e+005
+1.60000000000e+002, -3.81431098312e-009, +7.21536901337e+005
+1.80000000000e+002, -1.86042605841e-009, +1.05871475687e+006
+2.00000000000e+002, -7.35000538438e-010, +1.64745574570e+006
+2.20000000000e+002, -8.37137928423e-010, +1.65856479248e+006
+2.40000000000e+002, -9.08394750824e-010, +1.54953865305e+006
+2.60000000000e+002, -1.05014690807e-009, +1.46530171227e+006
+2.80000000000e+002, -1.28300959882e-009, +1.39322518785e+006
+3.00000000000e+002, -1.09316114927e-009, +1.42727560036e+006
+3.20000000000e+002, -1.40821636084e-009, +1.26453285869e+006
+3.40000000000e+002, -1.58478355037e-009, +1.24006562007e+006
+3.60000000000e+002, -1.83176325819e-009, +1.25287772702e+006
+3.80000000000e+002, -1.79345263365e-009, +1.15913641630e+006
+4.00000000000e+002, -2.58130568341e-009, +1.18102300854e+006
+4.20000000000e+002, -1.73874257259e-009, +1.14487496764e+006
+4.40000000000e+002, -2.77304690735e-009, +1.14026045701e+006
+4.60000000000e+002, -3.34068530758e-009, +1.13031441435e+006
+4.80000000000e+002, -2.03080242487e-009, +1.08072217139e+006
+5.00000000000e+002, -3.50371812713e-009, +1.04866601560e+006
END
