!Agilent Technologies,E4990A,MY54202069,A.02.20
!Date: Tue Mar 03 03:10:45 2026

BEGIN CH1_DATA
Frequency(Hz), Cs(F)-data, Rs(Ohm)-data
+2.00000000000e+001, +1.86293192669e-009, +8.69964010145e+006
+4.00000000000e+001, +1.88349624569e-008, -1.41185853915e+005
+6.00000000000e+001, +8.57523530118e-009, -1.29320718839e+005
+8.00000000000e+001, +5.43046244980e-009, +5.97821590383e+005
+1.00000000000e+002, -1.72566384656e-008, +3.31762990361e+005
+1.20000000000e+002, -1.11734518418e-008, +4.04229490181e+005
+1.40000000000e+002, -6.93444646755e-009, +5.28879927192e+005
+1.60000000000e+002, -3.94741670744e-009, +7.21109187506e+005
+1.80000000000e+002, -1.93130226552e-009, +1.05396452167e+006
+2.00000000000e+002, -7.24103816415e-010, +1.71619157964e+006
+2.20000000000e+002, -8.06281881965e-010, +1.64622924637e+006
+2.40000000000e+002, -9.01065003511e-010, +1.55899223953e+006
+2.60000000000e+002, -1.05828225700e-009, +1.47893152718e+006
+2.80000000000e+002, -1.21043892238e-009, +1.40016787446e+006
+3.00000000000e+002, -1.18444038904e-009, +1.44048803816e+006
+3.20000000000e+002, -1.31386283470e-009, +1.26858366273e+006
+3.40000000000e+002, -1.39497705648e-009, +1.31941824562e+006
+3.60000000000e+002, -1.80812497594e-009, +1.24942346422e+006
+3.80000000000e+002, -1.78037723904e-009, +1.23837256418e+006
+4.00000000000e+002, -1.67513074345e-009, +1.15900448777e+006
+4.20000000000e+002, -2.63442051628e-009, +1.15785700387e+006
+4.40000000000e+002, -2.43261680079e-009, +1.10822678682e+006
+4.60000000000e+002, -2.56310227507e-009, +1.14818107771e+006
+4.80000000000e+002, -3.01989702222e-009, +1.11561729947e+006
+5.00000000000e+002, -2.90765156193e-009, +1.10836817926e+006
END
