!Agilent Technologies,E4990A,MY54202069,A.02.20
!Date: Tue Mar 03 03:10:09 2026

BEGIN CH1_DATA
Frequency(Hz), Cs(F)-data, Rs(Ohm)-data
+2.00000000000e+001, +1.98581648957e-009, +8.56170578564e+006
+4.00000000000e+001, +1.81322807661e-008, -1.43673530119e+005
+6.00000000000e+001, +8.37252675413e-009, -1.16667588663e+005
+8.00000000000e+001, +5.40547789085e-009, +5.91519895601e+005
+1.00000000000e+002, -1.79671686302e-008, +3.35563859701e+005
+1.20000000000e+002, -1.15640245563e-008, +4.14195554198e+005
+1.40000000000e+002, -6.91245478031e-009, +5.29118511558e+005
+1.60000000000e+002, -3.95493576811e-009, +7.14732106059e+005
+1.80000000000e+002, -1.93982260749e-009, +1.04415095044e+006
+2.00000000000e+002, -7.32917401808e-010, +1.65374298409e+006
+2.20000000000e+002, -8.29514602957e-010, +1.61707518689e+006
+2.40000000000e+002, -8.66378514315e-010, +1.53980361948e+006
+2.60000000000e+002, -9.51037361380e-010, +1.52264587557e+006
+2.80000000000e+002, -1.00547138214e-009, +1.45541885447e+006
+3.00000000000e+002, -1.28698079580e-009, +1.31480113904e+006
+3.20000000000e+002, -1.41395177604e-009, +1.36402519211e+006
+3.40000000000e+002, -1.51045540960e-009, +1.22904954959e+006
+3.60000000000e+002, -1.40431443474e-009, +1.23136108540e+006
+3.80000000000e+002, -1.58704931132e-009, +1.17663522541e+006
+4.00000000000e+002, -2.33917814290e-009, +1.15205602308e+006
+4.20000000000e+002, -1.83954958310e-009, +1.16666187542e+006
+4.40000000000e+002, -2.67501364150e-009, +1.15830508512e+006
+4.60000000000e+002, -2.09348038597e-009, +1.10951320092e+006
+4.80000000000e+002, -2.32029373981e-009, +1.12670106445e+006
+5.00000000000e+002, -2.82132771915e-009, +1.06928611416e+006
END
