!Agilent Technologies,E4990A,MY54202069,A.02.20
!Date: Tue Mar 03 03:05:06 2026

BEGIN CH1_DATA
Frequency(Hz), Cs(F)-data, Rs(Ohm)-data
+2.00000000000e+001, +1.86023387523e-009, +8.38760957487e+006
+4.00000000000e+001, +1.82650904115e-008, -1.37207769581e+005
+6.00000000000e+001, +8.65842174044e-009, -1.17166484722e+005
+8.00000000000e+001, +5.73869563359e-009, +5.93891115365e+005
+1.00000000000e+002, -1.89036650358e-008, +3.18939306173e+005
+1.20000000000e+002, -1.13354319032e-008, +4.02389829081e+005
+1.40000000000e+002, -6.91108854266e-009, +5.28015174571e+005
+1.60000000000e+002, -3.92405523689e-009, +7.22833632451e+005
+1.80000000000e+002, -1.91642361140e-009, +1.05215946011e+006
+2.00000000000e+002, -7.39512162247e-010, +1.66552968332e+006
+2.20000000000e+002, -8.13467386641e-010, +1.66349974672e+006
+2.40000000000e+002, -9.08717090516e-010, +1.54955624903e+006
+2.60000000000e+002, -1.06717975929e-009, +1.47713009105e+006
+2.80000000000e+002, -1.28839420908e-009, +1.42444048749e+006
+3.00000000000e+002, -1.07285574920e-009, +1.39518639508e+006
+3.20000000000e+002, -1.45949675623e-009, +1.27532159018e+006
+3.40000000000e+002, -1.61014696981e-009, +1.24603453978e+006
+3.60000000000e+002, -1.77496704568e-009, +1.25717423066e+006
+3.80000000000e+002, -1.82450919004e-009, +1.16220976324e+006
+4.00000000000e+002, -2.50533887345e-009, +1.18251473487e+006
+4.20000000000e+002, -1.75024283689e-009, +1.14595077389e+006
+4.40000000000e+002, -2.34478527260e-009, +1.10368355558e+006
+4.60000000000e+002, -2.30647053801e-009, +1.09227462976e+006
+4.80000000000e+002, -4.29086288611e-009, +1.14607205885e+006
+5.00000000000e+002, -2.61287469798e-009, +1.14851668804e+006
END
